date,count,category
2016-01-01,8,chat
2016-01-01,405,email
2016-01-02,1,chat
2016-01-02,885,email
2016-01-03,1130,email
2016-01-04,1875,email
2016-01-04,2236,chat
2016-01-05,1928,email
2016-01-05,2219,chat
2016-01-06,1624,email
2016-01-06,2130,chat
2016-01-07,1717,email
2016-01-07,2133,chat
2016-01-08,1282,email
2016-01-08,1736,chat
2016-01-09,3,chat
2016-01-09,848,email
2016-01-10,1,chat
2016-01-10,923,email
2016-01-11,2033,email
2016-01-11,2393,chat
2016-01-12,1531,email
2016-01-12,2265,chat
2016-01-13,1508,email
2016-01-13,2270,chat
2016-01-14,1558,email
2016-01-14,1773,chat
2016-01-15,1493,email
2016-01-15,1907,chat
2016-01-16,1,chat
2016-01-16,862,email
2016-01-17,1,chat
2016-01-17,782,email
2016-01-18,1028,chat
2016-01-18,1749,email
2016-01-19,2366,email
2016-01-19,2420,chat
2016-01-20,1648,email
2016-01-20,2282,chat
2016-01-21,1700,email
2016-01-21,2306,chat
2016-01-22,1382,email
2016-01-22,1883,chat
2016-01-23,1,chat
2016-01-23,889,email
2016-01-24,1023,email
2016-01-25,2235,email
2016-01-25,2543,chat
2016-01-26,1871,email
2016-01-26,2332,chat
2016-01-27,1825,email
2016-01-27,2289,chat
2016-01-28,1624,email
2016-01-28,2003,chat
2016-01-29,1432,email
2016-01-29,2017,chat
2016-01-30,2,chat
2016-01-30,774,email
2016-01-31,820,email